x Tfem Texact
0.0675 0.0007553184867 0.0007553194683
0.068 0.0007628654456 0.0007628664342
0.0685 0.0007704455982 0.0007704465937
0.069 0.0007780590426 0.000778060045
0.0695 0.0007857058766 0.0007857068859
0.07 0.0007933861982 0.0007933872144
0.0705 0.0008011001053 0.0008011011284
0.071 0.0008088476959 0.0008088487259
0.0715 0.0008166290678 0.0008166301047
0.072 0.000824444319 0.0008244453628
0.0725 0.0008322935474 0.000832294598
0.073 0.0008401768508 0.0008401779083
0.0735 0.0008480943271 0.0008480953914
0.074 0.0008560460742 0.0008560471453
0.0745 0.0008640321899 0.0008640332679
0.075 0.0008720527721 0.0008720538569
0.0755 0.0008801079185 0.0008801090101
0.076 0.000888197727 0.0008881988254
0.0765 0.0008963222954 0.0008963234007
0.077 0.0009044817216 0.0009044828336
